case,threshold,r,tau,N0,Nr,frac_recovered,max_im_nb_thr0.85,max_im_nb_thr0.90,max_im_nb_thr0.95,max_im_nb_thr0.975,max_im_nb_thr0.99,mean_recovery_75,min_recovery_75
6160,0.85,23,11.992025,22,18.768,0.8530909,23,34,58,85,123,0.9906,0.9669
6162,0.85,14,7.172395,22,18.876,0.858,,,,,,,
6197,0.85,14,7.352445,21,17.872,0.8510476,,,,,,,
6234,0.85,23,11.994044,23,19.62,0.8530435,,,,,,,
6301,0.85,5,2.539876,23,19.788,0.8603478,,,,,,,
6310,0.85,13,6.804348,22,18.744,0.852,,,,,,,
6314,0.85,8,4.140549,19,16.248,0.8551579,,,,,,,
6362,0.85,2,1.009845,24,20.688,0.862,,,,,,,
6397,0.85,23,12.030722,22,18.748,0.8521818,,,,,,,
6401,0.85,7,3.480578,24,20.788,0.8661667,,,,,,,
6405,0.85,10,5.17941,23,19.664,0.8549565,,,,,,,
6414,0.85,6,3.097917,24,20.54,0.8558333,,,,,,,
6429,0.85,4,1.972891,24,20.84,0.8683333,,,,,,,
6450,0.85,14,7.353679,24,20.424,0.851,,,,,,,
6505,0.85,4,1.859345,24,21.208,0.8836667,,,,,,,
6160,0.9,33,14.286429,22,19.816,0.9007273,,,,,,,
6162,0.9,19,7.83751,22,20.052,0.9114545,,,,,,,
6197,0.9,24,10.284824,21,18.964,0.9030476,,,,,,,
6234,0.9,34,14.261278,23,20.88,0.9078261,,,,,,,
6301,0.9,8,3.275538,23,21,0.9130435,,,,,,,
6310,0.9,21,9.01196,22,19.86,0.9027273,,,,,,,
6314,0.9,11,4.561551,19,17.296,0.9103158,,,,,,,
6362,0.9,3,1.197553,24,22.04,0.9183333,,,,,,,
6397,0.9,31,13.431225,22,19.812,0.9005455,,,,,,,
6401,0.9,10,4.336656,24,21.608,0.9003333,,,,,,,
6405,0.9,17,7.377429,23,20.704,0.9001739,,,,,,,
6414,0.9,9,3.863301,24,21.664,0.9026667,,,,,,,
6429,0.9,5,2.135226,24,21.692,0.9038333,,,,,,,
6450,0.9,23,9.741962,24,21.736,0.9056667,,,,,,,
6505,0.9,5,1.986153,24,22.064,0.9193333,,,,,,,
6160,0.95,50,16.217579,22,20.992,0.9541818,,,,,,,
6162,0.95,31,9.845422,22,21.056,0.9570909,,,,,,,
6197,0.95,52,16.989845,21,20.016,0.9531429,,,,,,,
6234,0.95,54,17.783315,23,21.896,0.952,,,,,,,
6301,0.95,15,4.765586,23,22.012,0.9570435,,,,,,,
6310,0.95,42,13.499418,22,21.02,0.9554545,,,,,,,
6314,0.95,16,5.246247,19,18.1,0.9526316,,,,,,,
6362,0.95,5,1.551325,24,23.044,0.9601667,,,,,,,
6397,0.95,58,18.981074,22,20.964,0.9529091,,,,,,,
6401,0.95,26,8.659678,24,22.808,0.9503333,,,,,,,
6405,0.95,39,12.904654,23,21.88,0.9513043,,,,,,,
6414,0.95,15,4.973582,24,22.824,0.951,,,,,,,
6429,0.95,9,2.912581,24,22.908,0.9545,,,,,,,
6450,0.95,33,10.805261,24,22.868,0.9528333,,,,,,,
6505,0.95,7,2.259963,24,22.916,0.9548333,,,,,,,
6160,0.975,63,16.32584,22,21.536,0.9789091,,,,,,,
6162,0.975,40,10.177153,22,21.568,0.9803636,,,,,,,
6197,0.975,81,21.57814,21,20.508,0.9765714,,,,,,,
6234,0.975,76,20.136967,23,22.472,0.9770435,,,,,,,
6301,0.975,24,6.148541,23,22.536,0.9798261,,,,,,,
6310,0.975,58,15.582374,22,21.468,0.9758182,,,,,,,
6314,0.975,23,5.799162,19,18.64,0.9810526,,,,,,,
6362,0.975,8,2.096045,24,23.472,0.978,,,,,,,
6397,0.975,85,22.414301,22,21.504,0.9774545,,,,,,,
6401,0.975,61,16.506256,24,23.404,0.9751667,,,,,,,
6405,0.975,57,15.252982,23,22.452,0.9761739,,,,,,,
6414,0.975,21,5.640944,24,23.42,0.9758333,,,,,,,
6429,0.975,13,3.371957,24,23.492,0.9788333,,,,,,,
6450,0.975,42,11.155258,24,23.444,0.9768333,,,,,,,
6505,0.975,10,2.66108,24,23.44,0.9766667,,,,,,,
6160,0.99,76,16.437695,22,21.784,0.9901818,,,,,,,
6162,0.99,50,10.545626,22,21.808,0.9912727,,,,,,,
6197,0.99,102,21.822089,21,20.804,0.9906667,,,,,,,
6234,0.99,97,20.528538,23,22.796,0.9911304,,,,,,,
6301,0.99,31,6.560667,23,22.796,0.9911304,,,,,,,
6310,0.99,74,16.005124,22,21.784,0.9901818,,,,,,,
6314,0.99,29,6.006238,19,18.848,0.992,,,,,,,
6362,0.99,12,2.516943,24,23.796,0.9915,,,,,,,
6397,0.99,102,22.061117,22,21.784,0.9901818,,,,,,,
6401,0.99,123,25.474732,24,23.808,0.992,,,,,,,
6405,0.99,75,15.739324,23,22.804,0.9914783,,,,,,,
6414,0.99,31,6.277445,24,23.828,0.9928333,,,,,,,
6429,0.99,17,3.664526,24,23.768,0.9903333,,,,,,,
6450,0.99,52,10.723049,24,23.812,0.9921667,,,,,,,
6505,0.99,15,3.119999,24,23.804,0.9918333,,,,,,,
