case,threshold,r,tau,N0,Nr,frac_recovered,max_im_nb_thr0.85,max_im_nb_thr0.90,max_im_nb_thr0.95,max_im_nb_thr0.975,max_im_nb_thr0.99,mean_recovery_75,min_recovery_75
6160,0.85,13,6.842861,20,17.008,0.8504,25,34,46,68,104,0.9927,0.9768
6162,0.85,25,13.03658,19,16.208,0.8530526,,,,,,,
6197,0.85,9,4.580886,20,17.196,0.8598,,,,,,,
6234,0.85,16,7.800888,20,17.428,0.8714,,,,,,,
6301,0.85,4,2.080321,20,17.076,0.8538,,,,,,,
6310,0.85,9,4.659953,21,17.956,0.8550476,,,,,,,
6314,0.85,14,7.224158,21,17.976,0.856,,,,,,,
6362,0.85,2,1.027797,21,18,0.8571429,,,,,,,
6397,0.85,13,6.722571,20,17.108,0.8554,,,,,,,
6401,0.85,9,4.463549,21,18.204,0.8668571,,,,,,,
6405,0.85,12,6.175231,21,17.992,0.8567619,,,,,,,
6414,0.85,3,1.42339,21,18.448,0.8784762,,,,,,,
6429,0.85,4,1.889382,21,18.472,0.879619,,,,,,,
6450,0.85,8,4.09147,21,18.028,0.8584762,,,,,,,
6505,0.85,4,1.855452,21,18.568,0.8841905,,,,,,,
6160,0.9,21,8.953343,20,18.084,0.9042,,,,,,,
6162,0.9,34,14.181591,19,17.272,0.9090526,,,,,,,
6197,0.9,14,6.016646,20,18.048,0.9024,,,,,,,
6234,0.9,21,9.06468,20,18.028,0.9014,,,,,,,
6301,0.9,6,2.528437,20,18.136,0.9068,,,,,,,
6310,0.9,16,6.868091,21,18.956,0.9026667,,,,,,,
6314,0.9,21,9.105091,21,18.908,0.900381,,,,,,,
6362,0.9,3,1.257352,21,19.068,0.908,,,,,,,
6397,0.9,22,9.312819,20,18.116,0.9058,,,,,,,
6401,0.9,14,6.044884,21,18.928,0.9013333,,,,,,,
6405,0.9,17,7.370788,21,18.908,0.900381,,,,,,,
6414,0.9,4,1.663357,21,19.104,0.9097143,,,,,,,
6429,0.9,5,2.124606,21,19.004,0.9049524,,,,,,,
6450,0.9,11,4.630277,21,19.048,0.9070476,,,,,,,
6505,0.9,5,2.035221,21,19.2,0.9142857,,,,,,,
6160,0.95,41,13.631203,20,19.012,0.9506,,,,,,,
6162,0.95,46,15.192446,19,18.08,0.9515789,,,,,,,
6197,0.95,29,9.5109,20,19.052,0.9526,,,,,,,
6234,0.95,39,12.719515,20,19.068,0.9534,,,,,,,
6301,0.95,9,2.959816,20,19.044,0.9522,,,,,,,
6310,0.95,45,14.780643,21,20,0.952381,,,,,,,
6314,0.95,35,11.189602,21,20.08,0.9561905,,,,,,,
6362,0.95,5,1.655187,21,19.976,0.9512381,,,,,,,
6397,0.95,42,13.963672,20,19.012,0.9506,,,,,,,
6401,0.95,31,10.315104,21,19.96,0.9504762,,,,,,,
6405,0.95,31,10.288668,21,19.968,0.9508571,,,,,,,
6414,0.95,6,1.947302,21,20.036,0.9540952,,,,,,,
6429,0.95,9,2.861277,21,20.096,0.9569524,,,,,,,
6450,0.95,17,5.59113,21,19.996,0.9521905,,,,,,,
6505,0.95,9,2.796007,21,20.16,0.96,,,,,,,
6160,0.975,63,17.041251,20,19.504,0.9752,,,,,,,
6162,0.975,54,14.579912,19,18.532,0.9753684,,,,,,,
6197,0.975,59,15.959267,20,19.504,0.9752,,,,,,,
6234,0.975,56,14.741907,20,19.552,0.9776,,,,,,,
6301,0.975,13,3.469897,20,19.528,0.9764,,,,,,,
6310,0.975,68,17.836565,21,20.536,0.9779048,,,,,,,
6314,0.975,49,13.081661,21,20.504,0.976381,,,,,,,
6362,0.975,8,2.158562,21,20.484,0.9754286,,,,,,,
6397,0.975,68,17.68823,20,19.572,0.9786,,,,,,,
6401,0.975,56,14.885848,21,20.512,0.9767619,,,,,,,
6405,0.975,45,12.01377,21,20.504,0.976381,,,,,,,
6414,0.975,8,2.16756,21,20.476,0.9750476,,,,,,,
6429,0.975,13,3.4481,21,20.516,0.9769524,,,,,,,
6450,0.975,25,6.65992,21,20.508,0.9765714,,,,,,,
6505,0.975,12,3.074917,21,20.576,0.9798095,,,,,,,
6160,0.99,86,18.427075,20,19.812,0.9906,,,,,,,
6162,0.99,63,13.648913,19,18.812,0.9901053,,,,,,,
6197,0.99,104,21.539611,20,19.84,0.992,,,,,,,
6234,0.99,68,14.701517,20,19.804,0.9902,,,,,,,
6301,0.99,18,3.821225,20,19.82,0.991,,,,,,,
6310,0.99,82,17.76915,21,20.792,0.9900952,,,,,,,
6314,0.99,59,12.677375,21,20.8,0.9904762,,,,,,,
6362,0.99,14,3.033757,21,20.792,0.9900952,,,,,,,
6397,0.99,95,20.447731,20,19.808,0.9904,,,,,,,
6401,0.99,88,18.575818,21,20.816,0.9912381,,,,,,,
6405,0.99,64,13.810492,21,20.796,0.9902857,,,,,,,
6414,0.99,11,2.343027,21,20.808,0.9908571,,,,,,,
6429,0.99,17,3.520898,21,20.832,0.992,,,,,,,
6450,0.99,34,7.110303,21,20.824,0.991619,,,,,,,
6505,0.99,17,3.430833,21,20.852,0.9929524,,,,,,,
