case,threshold,r,tau,N0,Nr,frac_recovered,max_im_nb_thr0.85,max_im_nb_thr0.90,max_im_nb_thr0.95,max_im_nb_thr0.975,max_im_nb_thr0.99,mean_recovery_75,min_recovery_75
6160,0.85,29,15.10737,18,15.36,0.8533333,29,49,71,94,111,0.9879,0.9539
6162,0.85,14,7.196752,17,14.57,0.8570588,,,,,,,
6197,0.85,19,9.808348,17,14.55,0.8558824,,,,,,,
6234,0.85,24,11.985135,18,15.57,0.865,,,,,,,
6301,0.85,7,3.505873,19,16.42,0.8642105,,,,,,,
6310,0.85,10,5.097048,17,14.61,0.8594118,,,,,,,
6314,0.85,6,3.091313,14,11.99,0.8564286,,,,,,,
6362,0.85,2,1.013346,19,16.36,0.8610526,,,,,,,
6397,0.85,21,11.026198,18,15.32,0.8511111,,,,,,,
6401,0.85,7,3.648879,19,16.21,0.8531579,,,,,,,
6405,0.85,15,7.72168,18,15.42,0.8566667,,,,,,,
6414,0.85,10,5.10563,19,16.32,0.8589474,,,,,,,
6429,0.85,4,2.077284,19,16.23,0.8542105,,,,,,,
6450,0.85,18,9.260178,19,16.28,0.8568421,,,,,,,
6505,0.85,2,1.040589,19,16.22,0.8536842,,,,,,,
6160,0.9,49,21.229066,18,16.21,0.9005556,,,,,,,
6162,0.9,21,8.530864,17,15.55,0.9147059,,,,,,,
6197,0.9,35,14.653379,17,15.44,0.9082353,,,,,,,
6234,0.9,38,15.942579,18,16.34,0.9077778,,,,,,,
6301,0.9,11,4.45668,19,17.39,0.9152632,,,,,,,
6310,0.9,16,6.716656,17,15.43,0.9076471,,,,,,,
6314,0.9,11,4.62828,14,12.7,0.9071429,,,,,,,
6362,0.9,3,1.29394,19,17.13,0.9015789,,,,,,,
6397,0.9,33,13.949694,18,16.31,0.9061111,,,,,,,
6401,0.9,14,5.996556,19,17.16,0.9031579,,,,,,,
6405,0.9,27,11.470431,18,16.29,0.905,,,,,,,
6414,0.9,18,7.709858,19,17.16,0.9031579,,,,,,,
6429,0.9,6,2.51591,19,17.25,0.9078947,,,,,,,
6450,0.9,28,12.048906,19,17.14,0.9021053,,,,,,,
6505,0.9,3,1.260968,19,17.24,0.9073684,,,,,,,
6160,0.95,71,23.435175,18,17.13,0.9516667,,,,,,,
6162,0.95,30,9.734966,17,16.22,0.9541176,,,,,,,
6197,0.95,61,20.282177,17,16.16,0.9505882,,,,,,,
6234,0.95,66,22.031341,18,17.1,0.95,,,,,,,
6301,0.95,17,5.634718,19,18.07,0.9510526,,,,,,,
6310,0.95,30,9.488514,17,16.28,0.9576471,,,,,,,
6314,0.95,28,9.166585,14,13.34,0.9528571,,,,,,,
6362,0.95,6,1.909071,19,18.18,0.9568421,,,,,,,
6397,0.95,49,16.295823,18,17.11,0.9505556,,,,,,,
6401,0.95,29,9.543399,19,18.09,0.9521053,,,,,,,
6405,0.95,45,15.021369,18,17.1,0.95,,,,,,,
6414,0.95,39,13.01852,19,18.05,0.95,,,,,,,
6429,0.95,10,3.230744,19,18.14,0.9547368,,,,,,,
6450,0.95,45,14.862175,19,18.08,0.9515789,,,,,,,
6505,0.95,6,1.916462,19,18.17,0.9563158,,,,,,,
6160,0.975,87,23.151399,18,17.58,0.9766667,,,,,,,
6162,0.975,39,10.261005,17,16.62,0.9776471,,,,,,,
6197,0.975,85,22.669665,17,16.6,0.9764706,,,,,,,
6234,0.975,94,24.028489,18,17.64,0.98,,,,,,,
6301,0.975,25,6.303437,19,18.64,0.9810526,,,,,,,
6310,0.975,37,9.998071,17,16.58,0.9752941,,,,,,,
6314,0.975,46,11.758622,14,13.72,0.98,,,,,,,
6362,0.975,9,2.151919,19,18.71,0.9847368,,,,,,,
6397,0.975,73,19.548291,18,17.57,0.9761111,,,,,,,
6401,0.975,42,11.287386,19,18.54,0.9757895,,,,,,,
6405,0.975,60,15.966482,18,17.58,0.9766667,,,,,,,
6414,0.975,56,14.690684,19,18.58,0.9778947,,,,,,,
6429,0.975,13,3.473199,19,18.55,0.9763158,,,,,,,
6450,0.975,58,15.11977,19,18.59,0.9784211,,,,,,,
6505,0.975,9,2.220522,19,18.67,0.9826316,,,,,,,
6160,0.99,96,19.470276,18,17.87,0.9927778,,,,,,,
6162,0.99,50,10.09392,17,16.88,0.9929412,,,,,,,
6197,0.99,111,23.790159,17,16.84,0.9905882,,,,,,,
6234,0.99,107,22.949905,18,17.83,0.9905556,,,,,,,
6301,0.99,31,6.572816,19,18.83,0.9910526,,,,,,,
6310,0.99,52,11.144939,17,16.84,0.9905882,,,,,,,
6314,0.99,62,12.284518,14,13.91,0.9935714,,,,,,,
6362,0.99,13,2.721362,19,18.84,0.9915789,,,,,,,
6397,0.99,97,20.537997,18,17.84,0.9911111,,,,,,,
6401,0.99,69,14.051374,19,18.86,0.9926316,,,,,,,
6405,0.99,81,16.165615,18,17.88,0.9933333,,,,,,,
6414,0.99,65,13.78171,19,18.83,0.9910526,,,,,,,
6429,0.99,20,4.18671,19,18.84,0.9915789,,,,,,,
6450,0.99,67,14.380036,19,18.82,0.9905263,,,,,,,
6505,0.99,11,2.302691,19,18.84,0.9915789,,,,,,,
